District,DMA,Channel,Week,Percent Of State,Dem GRPs,Rep GRPs,Net GRPs,Cost Per Impression,CPPs,Value Per Dollar,Change In State Voteshare,Change In DMA Voteshare,Forecasted Cand Dem GRPs,Forecasted Cand Rep GRPs,Cost,Cumulative,Speculative,Speculative -  Value Per Dollar
MS_class_2,Jackson MS,Digital,2020-10-20,31.8%,0,0,0,.025,197,.117,.24%,.75%,0,0,"$98,320.4",,1,.001
MS_class_2,Columbus-Tupelo-West Point MS,Digital,2020-10-20,16.3%,0,0,0,.025,100,.107,.12%,.76%,0,0,"$49,781.5",,1,.001
MS_class_2,Meridian MS,Digital,2020-10-27,5.0%,0,0,0,.025,31,.110,.04%,.85%,0,0,"$15,394.6",,1,.001
MS_class_2,Mobile AL-Pensacola (Ft. Walton Beach) FL,Digital,2020-10-27,1.2%,0,0,0,.025,7,.108,.01%,.85%,0,0,"$3,608.4",,1,.001
MS_class_2,Mobile AL-Pensacola (Ft. Walton Beach) FL,Digital,2020-10-20,1.2%,0,0,0,.025,7,.097,.01%,.76%,0,0,"$3,608.4",,1,.001
MS_class_2,Biloxi-Gulfport MS,Digital,2020-10-27,10.8%,0,0,0,.025,78,.098,.09%,.85%,0,0,"$38,805.6",,1,.001
MS_class_2,New Orleans LA,Digital,2020-10-27,3.3%,0,0,0,.025,22,.099,.03%,.85%,0,0,"$11,152.8",,1,.001
MS_class_2,Greenwood-Greenville MS,Digital,2020-10-27,6.1%,0,0,0,.025,41,.101,.05%,.85%,0,0,"$20,731.8",,1,.001
MS_class_2,Hattiesburg-Laurel MS,Digital,2020-10-20,10.1%,0,0,0,.025,60,.103,.07%,.71%,0,0,"$30,188.4",,1,.001
MS_class_2,Memphis TN,Digital,2020-10-20,14.3%,0,0,0,.025,92,.100,.11%,.76%,0,0,"$45,935.1",,1,.001
MS_class_2,Meridian MS,Digital,2020-10-20,5.0%,0,0,0,.025,31,.098,.04%,.75%,0,0,"$15,394.6",,1,.001
MS_class_2,Greenwood-Greenville MS,Digital,2020-10-20,6.1%,0,0,0,.025,41,.090,.05%,.76%,0,0,"$20,731.8",,1,.001
MS_class_2,New Orleans LA,Digital,2020-10-20,3.3%,0,0,0,.025,22,.089,.03%,.76%,0,0,"$11,152.8",,1,.001
MS_class_2,Biloxi-Gulfport MS,Digital,2020-10-20,10.8%,0,0,0,.025,78,.087,.08%,.72%,0,0,"$38,805.6",,1,.001
NM_class_2,Albuquerque-Santa Fe NM,Digital,2020-10-27,87.2%,0,0,0,.025,345,.001,.02%,.02%,0,0,"$172,548.6",,1,.001
NM_class_2,Albuquerque-Santa Fe NM,Digital,2020-10-20,87.2%,0,0,0,.025,345,.000,.02%,.02%,0,0,"$172,548.6",,1,.001
NJ_class_2,Philadelphia PA,Digital,2020-10-20,25.5%,0,0,0,.025,489,.000,.13%,.53%,0,0,"$244,377.0",,1,.000
NJ_class_2,New York NY,Digital,2020-10-20,74.5%,0,0,0,.025,1414,.000,.39%,.53%,0,0,"$707,135.3",,1,.000
NJ_class_2,Philadelphia PA,Digital,2020-10-27,25.5%,0,0,0,.025,489,.000,.06%,.24%,0,0,"$244,377.0",,1,.000
NJ_class_2,New York NY,Digital,2020-10-27,74.5%,0,0,0,.025,1414,.000,.18%,.24%,0,0,"$707,135.3",,1,.000
NH_class_2,Burlington VT-Plattsburgh NY,Digital,2020-10-27,10.0%,0,0,0,.025,30,.000,.02%,.19%,1998.0953,616,"$15,140.3",,0,.000
NH_class_2,Burlington VT-Plattsburgh NY,Digital,2020-10-20,10.0%,0,0,0,.025,30,.000,.02%,.20%,1999.6309,223,"$15,140.3",,0,.000
NH_class_2,Portland-Auburn ME,Digital,2020-10-27,6.1%,0,0,0,.025,19,.000,.03%,.51%,1997.4894,574,"$9,517.4",,0,.000
NH_class_2,Portland-Auburn ME,Digital,2020-10-20,6.1%,0,0,0,.025,19,.000,.03%,.51%,1999.4326,218,"$9,517.4",,0,.000
NH_class_2,Boston MA (Manchester NH),Digital,2020-10-27,83.8%,0,0,0,.025,254,.000,.03%,.04%,1947.3228,847,"$126,961.0",,0,.000
NH_class_2,Boston MA (Manchester NH),Digital,2020-10-20,83.8%,0,0,0,.025,254,.000,.03%,.04%,1882.1511,466,"$126,961.0",,0,.000
MA_class_2,Albany-Schenectady-Troy NY,Digital,2020-10-20,1.9%,0,0,0,.025,28,.000,.01%,.61%,0,0,"$14,128.1",,1,.000
MA_class_2,Springfield-Holyoke MA,Digital,2020-10-20,10.2%,0,0,0,.025,148,.000,.06%,.61%,0,0,"$73,888.1",,1,.000
MA_class_2,Providence RI-New Bedford MA,Digital,2020-10-20,7.8%,0,0,0,.025,117,.000,.05%,.61%,0,0,"$58,619.6",,1,.000
RI_class_2,Providence RI-New Bedford MA,Digital,2020-10-20,100.0%,0,0,0,.025,240,.000,.62%,.62%,328.98138,0,"$119,971.9",,1,.000
RI_class_2,Providence RI-New Bedford MA,Digital,2020-10-27,100.0%,0,0,0,.025,240,.000,.48%,.48%,0,0,"$119,971.9",,1,.000
MA_class_2,Albany-Schenectady-Troy NY,Digital,2020-10-27,1.9%,0,0,0,.025,28,.000,.01%,.46%,0,0,"$14,128.1",,1,.000
MA_class_2,Springfield-Holyoke MA,Digital,2020-10-27,10.2%,0,0,0,.025,148,.000,.05%,.46%,0,0,"$73,888.1",,1,.000
MA_class_2,Providence RI-New Bedford MA,Digital,2020-10-27,7.8%,0,0,0,.025,117,.000,.04%,.46%,0,0,"$58,619.6",,1,.000
MA_class_2,Boston MA (Manchester NH),Digital,2020-10-20,80.1%,0,0,0,.025,1129,.000,.49%,.61%,82.54204,0,"$564,513.8",,1,.000
MA_class_2,Boston MA (Manchester NH),Digital,2020-10-27,80.1%,0,0,0,.025,1129,.000,.37%,.46%,0,0,"$564,513.8",,1,.000
AL_class_2,Columbus GA,Digital,2020-10-20,5.2%,0,0,0,.025,60,.000,.04%,.76%,0,0,"$30,154.1",,1,.000
AL_class_2,Columbus GA,Digital,2020-10-27,5.2%,0,0,0,.025,60,.000,.04%,.85%,0,0,"$30,154.1",,1,.000
AL_class_2,Atlanta GA,Digital,2020-10-20,.8%,0,0,0,.025,9,.000,.00%,.37%,0,0,"$4,482.6",,1,.000
AL_class_2,Atlanta GA,Digital,2020-10-27,.8%,0,0,0,.025,9,.000,.00%,.42%,1999.497,0,"$4,482.6",,1,.000
AL_class_2,Dothan AL,Digital,2020-10-20,4.9%,0,0,0,.025,56,.000,.02%,.49%,0,0,"$27,904.8",,1,.000
AL_class_2,Dothan AL,Digital,2020-10-27,4.9%,0,0,0,.025,56,.000,.03%,.54%,0,0,"$27,904.8",,1,.000
AL_class_2,Birmingham (Anniston & Tuscaloosa) AL,Digital,2020-10-20,39.7%,0,0,0,.025,419,.000,.01%,.03%,0,0,"$209,714.4",,1,.000
AL_class_2,Birmingham (Anniston & Tuscaloosa) AL,Digital,2020-10-27,39.7%,0,0,0,.025,419,.000,.01%,.03%,0,0,"$209,714.4",,1,.000
AL_class_2,Columbus-Tupelo-West Point MS,Digital,2020-10-20,.3%,0,0,0,.025,3,.000,.00%,.37%,0,0,"$1,671.6",,1,.000
AL_class_2,Columbus-Tupelo-West Point MS,Digital,2020-10-27,.3%,0,0,0,.025,3,.000,.00%,.42%,1999.864,0,"$1,671.6",,1,.000
AL_class_2,Mobile AL-Pensacola (Ft. Walton Beach) FL,Digital,2020-10-20,15.2%,0,0,0,.025,169,.000,.12%,.76%,0,0,"$84,589.0",,1,.000
AL_class_2,Mobile AL-Pensacola (Ft. Walton Beach) FL,Digital,2020-10-27,15.2%,0,0,0,.025,169,.000,.13%,.85%,0,0,"$84,589.0",,1,.000
